,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_27,A_28,A_31,A_32,A_33,A_34,A_35,A_36,A_37,A_38,A_39,A_40,A_41,A_42,A_43,A_44,A_46,A_47,A_48,A_49,A_50,A_51,A_52,A_53,A_54,A_55,A_56,A_57,A_58,A_59,A_60,A_61,A_62,A_63,A_64,A_65,A_67,A_70,A_72,A_73,A_74,A_75,A_76,A_77,A_78,A_79,A_80,A_81,A_82,A_84,A_85,A_86,A_87,A_88,A_89,A_90
P_41,192.57496245436383,3.5,0.0,3.3666666666666667,0.0,0.3333333333333333,1.1020202020202021,2.333333333333333,2.0,0.0,0.0,0.0,0.0,25.049999999999997,2.2,0.0,0.0,20.666666666666668,0.5,0.0,0.0,0.0,0.0,0.0,0.45,1.45,0.0,0.0,1.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,402.2485116749436,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,1.6666666666666665,3.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_42,151.23313810372625,0.45,1.3333333333333333,0.2,10.116666666666667,0.0,5.533333333333333,2.0833333333333335,5.979166666666666,0.5,0.0,2.0,0.0,5.333333333333333,3.369047619047619,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,5.333333333333334,1.5,0.0,0.0,0.0,2.0,2.5,0.0,2.1666666666666665,0.0,0.3333333333333333,0.0,777.7916666666682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,1.0,1.45,0.0,0.0,3.0,8.083333333333332,0.25,0.16666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
P_43,498.64250780556,1.125,0.6666666666666666,0.0,0.0,0.0,2.533333333333333,0.0,0.3338004101161996,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,506.1666666666665,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.392857142857143,0.0,0.0,0.3333333333333333,0.9857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_44,399.5988382231777,0.0,3.2400000000000007,1.95,0.0,2.45,1.8333333333333333,22.833333333333332,1.1111111111111112,0.0,7.0,0.0,0.0,37.166666666666664,1.5,27.74999999999998,0.3333333333333333,2.5,2.0,17.58333333333333,0.16666666666666666,0.0,0.0,0.0,1.5,0.0,35.833333333333336,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.7,1049.2524383966413,30.050519698739517,67.62500000000003,1.6666666666666665,3.5833333333333335,3.0,21.75,10.0,0.0,27.5,0.2,0.0,0.0,0.0,69.89523809523813,0.8928571428571428,2.7,88.14404761904767,5.293961593961592,1.5,10.157142857142857,273.1493610106521,33.34999999999997,12.783333333333333,30.854761904761887,0.0,0.0,24.166666666666657,1.0,1.0833333333333333,79.4720238095238,3.833333333333333,113.80833333333328,150.24425236375095,8.30908521303258,6.416666666666667,17.0,0.3333333333333333,2.5833333333333335,0.0,0.0
P_46,113.87257685125327,0.0,0.0,0.5,0.5,0.5,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.3571428571428571,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.8300986050986,407.54577904036,19.583333333333332,0.0,2.333333333333333,3.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.261111111111112,0.0,10.416666666666664,13.884920634920638,5.337301587301588,0.5,1.25,87.3314825387452,0.0,2.3,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,5.742857142857143,0.125,1.6666666666666665,13.333333333333334,0.0,2.0,0.0,0.0
P_47,275.7349221240362,5.0,1.7,1.3166666666666667,2.0,0.5,0.0,1.5,0.0,0.0,0.8333333333333333,0.0,1.0,3.414285714285714,0.0,10.2,1.6666666666666665,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,2.0,2.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,57.800000000000026,75.98917556042174,822.3750000000003,21.333333333333332,27.833333333333332,1.0,102.28333333333332,0.5833333333333333,0.0,2.083333333333333,0.7,2.8333333333333335,0.0,2.0380341880341883,86.02222222222224,1.8095238095238093,31.333333333333332,67.2334054834055,32.61006118064942,24.549999999999986,1.3333333333333333,425.9710562567475,27.13333333333332,4.75,30.383333333333322,0.0,0.0,14.166666666666657,22.0,0.3333333333333333,57.11448412698415,12.333333333333332,21.98333333333333,19.011106319944993,6.090909090909091,1.9333333333333333,46.11666666666667,2.5,0.16666666666666666,0.0,0.0
P_48,14.745634920634918,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.333333333333333,7.366666666666667,0.0,261.5000000000001,51.58333333333335,5.166666666666666,23.249999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.95,0.038461538461538464,15.333333333333334,1.0,0.0,0.2,1.0,74.04903422451387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666665,0.0,0.0
P_49,38.666666666666664,0.5,1.0,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.5,0.0,2.0,1.8333333333333333,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5833333333333333,1.75,0.0,0.5,1.0,0.0,0.3333333333333333,0.0,0.0,4.5,1.0,0.0,1.0,2.0,3.433333333333333,4.166666666666667,13.7,5.166666666666666,22.249999999999996,185.83333333333334,35.33333333333333,9.666666666666666,1.8333333333333333,0.0,6.5,0.0,1.5,0.0,8.033333333333331,38.83333333333334,0.0,4.666666666666667,3.5,0.5,0.0,2.583333333333333,74.53645798645803,0.0,0.0,5.75,0.0,1.0,0.0,0.5,3.0,16.77005772005771,0.0,2.833333333333333,1.2333333333333332,5.571428571428571,0.0,0.0,4.333333333333333,0.5,0.0,0.3333333333333333
P_50,19.605158730158703,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,11.7,6.183333333333334,47.00000000000001,61.58333333333333,10.916666666666668,66.86666666666667,67.90000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,0.0,3.283333333333333,2.166666666666667,0.0,1.1666666666666667,70.60756155889261,0.5,0.0,0.0,0.0,0.0,2.2166666666666663,0.0,0.0,10.010292485292489,17.750000000000007,0.2,2.033333333333333,3.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0
P_51,74.23498584748603,0.16666666666666666,0.0,9.283333333333331,0.0,0.0,0.0,0.125,0.45,0.0,0.0,0.0,0.0,0.3333333333333333,1.3804875679875679,7.033333333333332,0.8333333333333333,0.3333333333333333,0.16666666666666666,3.15,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,1.0,0.0,0.14285714285714285,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.5,0.0,6.9,10.116666666666667,57.283333333333346,3.0,8.5,12.200000000000003,1127.7428932178975,22.98571428571428,0.0,47.83333333333333,4.763095238095238,19.10757575757575,24.724242424242412,0.0,27.433333333333326,1.8928571428571428,24.53333333333333,37.211111111111094,6.289246864246863,1.3333333333333333,0.0,415.74094377606855,17.833333333333336,1.25,1.5499999999999998,0.0,0.0,0.0,0.5,1.0,54.93789682539686,0.0,24.46666666666666,31.538162944950514,3.0,24.233333333333334,8.95,0.5,0.16666666666666666,0.0,0.0
